billofmaterialsid,productassemblyid,componentid,startdate,enddate,unitmeasurecode,bomlevel,perassemblyqty,modifieddate
2361,,787,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
1263,,788,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
3247,,789,2010-12-23 00:00:00,,EA ,0,1.0,2010-12-09 00:00:00
2761,,790,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
2396,,791,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
3089,,792,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
2739,,793,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
2364,,794,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
1266,,795,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
482,,796,2010-03-18 00:00:00,,EA ,0,1.0,2010-03-04 00:00:00
1024,,797,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,0,1.0,2010-07-25 00:00:00
783,,797,2010-07-26 00:00:00,,EA ,0,1.0,2010-07-12 00:00:00
2333,,798,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
1240,,799,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
450,,800,2010-03-18 00:00:00,,EA ,0,1.0,2010-03-04 00:00:00
92,,801,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
1303,,953,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
1699,,954,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
3060,,955,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
3326,,956,2010-12-23 00:00:00,,EA ,0,1.0,2010-12-09 00:00:00
2107,,957,2010-07-08 00:00:00,,EA ,0,1.0,2010-06-24 00:00:00
2800,,958,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
1778,,959,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
3102,,960,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
2027,,961,2010-07-08 00:00:00,,EA ,0,1.0,2010-06-24 00:00:00
1698,,962,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
3059,,963,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
879,,964,2010-05-26 00:00:00,,EA ,0,1.0,2010-05-12 00:00:00
1789,,965,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
3037,,966,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
3304,,967,2010-12-23 00:00:00,,EA ,0,1.0,2010-12-09 00:00:00
2801,,968,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
1779,,969,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
419,,970,2010-03-18 00:00:00,,EA ,0,1.0,2010-03-04 00:00:00
73,,971,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
1071,,972,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,0,1.0,2010-07-25 00:00:00
867,,972,2010-07-26 00:00:00,,EA ,0,1.0,2010-07-12 00:00:00
2993,,973,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
33,,974,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
829,,975,2010-05-26 00:00:00,,EA ,0,1.0,2010-05-12 00:00:00
2073,,976,2010-07-08 00:00:00,,EA ,0,1.0,2010-06-24 00:00:00
103,,977,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
1668,,978,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
3036,,979,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
1641,,980,2010-06-19 00:00:00,,EA ,0,1.0,2010-06-05 00:00:00
392,,981,2010-03-18 00:00:00,,EA ,0,1.0,2010-03-04 00:00:00
51,,982,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
850,,983,2010-05-26 00:00:00,,EA ,0,1.0,2010-05-12 00:00:00
1194,,984,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
3016,,985,2010-12-15 00:00:00,,EA ,0,1.0,2010-12-01 00:00:00
3280,,986,2010-12-23 00:00:00,,EA ,0,1.0,2010-12-09 00:00:00
2782,,987,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
2422,,988,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
3,,989,2010-03-04 00:00:00,,EA ,0,1.0,2010-02-18 00:00:00
2735,,990,2010-09-15 00:00:00,,EA ,0,1.0,2010-09-01 00:00:00
2360,,991,2010-08-05 00:00:00,,EA ,0,1.0,2010-07-22 00:00:00
1262,,992,2010-06-09 00:00:00,,EA ,0,1.0,2010-05-26 00:00:00
481,,993,2010-03-18 00:00:00,,EA ,0,1.0,2010-03-04 00:00:00
809,,997,2010-05-26 00:00:00,,EA ,0,1.0,2010-05-12 00:00:00
2050,,998,2010-07-08 00:00:00,,EA ,0,1.0,2010-06-24 00:00:00
1938,,999,2010-06-19 00:00:00,2010-08-18 00:00:00,EA ,0,1.0,2010-08-18 00:00:00
1731,,999,2010-08-19 00:00:00,,EA ,0,1.0,2010-08-05 00:00:00
2000,3.0,2,2010-07-08 00:00:00,,EA ,3,10.0,2010-06-24 00:00:00
1657,3.0,461,2010-06-19 00:00:00,,EA ,3,1.0,2010-06-05 00:00:00
389,3.0,504,2010-03-18 00:00:00,,EA ,3,2.0,2010-03-04 00:00:00
805,3.0,505,2010-05-26 00:00:00,,EA ,3,2.0,2010-05-12 00:00:00
2433,316.0,486,2010-08-05 00:00:00,,EA ,4,1.0,2010-07-22 00:00:00
1290,324.0,486,2010-06-09 00:00:00,,EA ,3,1.0,2010-05-26 00:00:00
875,327.0,483,2010-05-26 00:00:00,,EA ,3,1.0,2010-05-12 00:00:00
3337,328.0,482,2010-12-23 00:00:00,,EA ,3,1.0,2010-12-09 00:00:00
2806,329.0,482,2010-09-15 00:00:00,,EA ,3,1.0,2010-09-01 00:00:00
2432,330.0,482,2010-08-05 00:00:00,,EA ,3,1.0,2010-07-22 00:00:00
1289,331.0,482,2010-06-09 00:00:00,,EA ,4,1.0,2010-05-26 00:00:00
492,350.0,486,2010-03-18 00:00:00,,EA ,4,1.0,2010-03-04 00:00:00
876,398.0,487,2010-05-26 00:00:00,,EA ,3,1.0,2010-05-12 00:00:00
3338,399.0,485,2010-12-23 00:00:00,,EA ,3,1.0,2010-12-09 00:00:00
543,400.0,523,2010-03-18 00:00:00,,EA ,3,1.0,2010-03-04 00:00:00
2162,400.0,525,2010-07-08 00:00:00,,EA ,3,1.0,2010-06-24 00:00:00
935,401.0,524,2010-05-26 00:00:00,,EA ,3,1.0,2010-05-12 00:00:00
2487,401.0,526,2010-08-05 00:00:00,,EA ,3,1.0,2010-07-22 00:00:00
2327,514.0,497,2010-08-05 00:00:00,,EA ,2,4.0,2010-07-22 00:00:00
3138,514.0,528,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1830,514.0,530,2010-06-19 00:00:00,,EA ,2,1.0,2010-06-05 00:00:00
3135,514.0,908,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1219,515.0,497,2010-06-09 00:00:00,,EA ,2,4.0,2010-05-26 00:00:00
3400,515.0,528,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
3140,515.0,530,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
2858,515.0,909,2010-09-15 00:00:00,,EA ,2,1.0,2010-09-01 00:00:00
386,516.0,497,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
2862,516.0,528,2010-09-15 00:00:00,,EA ,2,1.0,2010-09-01 00:00:00
3402,516.0,530,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
1357,516.0,910,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
28,517.0,497,2010-03-04 00:00:00,,EA ,2,4.0,2010-02-18 00:00:00
2489,517.0,528,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
2864,517.0,530,2010-09-15 00:00:00,,EA ,2,1.0,2010-09-01 00:00:00
348,517.0,911,2010-03-04 00:00:00,2010-05-03 00:00:00,EA ,1,2.0,2010-05-03 00:00:00
140,517.0,911,2010-05-04 00:00:00,,EA ,2,1.0,2010-04-20 00:00:00
1032,518.0,497,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,1,5.0,2010-07-25 00:00:00
803,518.0,497,2010-07-26 00:00:00,,EA ,2,4.0,2010-07-12 00:00:00
1360,518.0,528,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
2491,518.0,530,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
2161,518.0,912,2010-07-08 00:00:00,,EA ,2,1.0,2010-06-24 00:00:00
2022,519.0,497,2010-07-08 00:00:00,,EA ,2,4.0,2010-06-24 00:00:00
546,519.0,528,2010-03-18 00:00:00,,EA ,2,1.0,2010-03-04 00:00:00
1362,519.0,530,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
3136,519.0,913,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1660,520.0,497,2010-06-19 00:00:00,,EA ,2,4.0,2010-06-05 00:00:00
144,520.0,528,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
548,520.0,530,2010-03-18 00:00:00,,EA ,2,1.0,2010-03-04 00:00:00
2859,520.0,914,2010-09-15 00:00:00,,EA ,2,1.0,2010-09-01 00:00:00
3012,521.0,497,2010-12-15 00:00:00,,EA ,2,4.0,2010-12-01 00:00:00
938,521.0,528,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
146,521.0,530,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1358,521.0,915,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
3239,522.0,497,2010-12-23 00:00:00,,EA ,2,4.0,2010-12-09 00:00:00
2165,522.0,528,2010-07-08 00:00:00,,EA ,2,1.0,2010-06-24 00:00:00
1124,522.0,530,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,1,2.0,2010-07-25 00:00:00
940,522.0,530,2010-07-26 00:00:00,,EA ,2,1.0,2010-07-12 00:00:00
141,522.0,916,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1288,529.0,477,2010-06-09 00:00:00,,EA ,3,1.0,2010-05-26 00:00:00
2094,531.0,487,2010-07-08 00:00:00,,EA ,4,1.0,2010-06-24 00:00:00
1956,532.0,484,2010-06-19 00:00:00,2010-08-18 00:00:00,EA ,2,2.0,2010-08-18 00:00:00
1769,532.0,484,2010-08-19 00:00:00,,EA ,3,1.0,2010-08-05 00:00:00
100,533.0,478,2010-03-04 00:00:00,,EA ,3,1.0,2010-02-18 00:00:00
491,534.0,482,2010-03-18 00:00:00,,EA ,3,1.0,2010-03-04 00:00:00
1445,680.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1881,680.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3453,680.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2541,680.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3190,680.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1617,680.0,492,2010-06-09 00:00:00,2010-08-08 00:00:00,OZ ,1,9.0,2010-08-08 00:00:00
1446,680.0,492,2010-08-09 00:00:00,,OZ ,2,8.0,2010-07-26 00:00:00
626,680.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
987,680.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
220,680.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
219,680.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
776,706.0,324,2010-03-18 00:00:00,,EA ,2,2.0,2010-03-04 00:00:00
1999,706.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3482,706.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2709,706.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3215,706.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
777,706.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
778,706.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
1190,706.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
779,706.0,534,2010-05-06 00:00:00,,EA ,2,1.0,2010-04-22 00:00:00
360,706.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1453,717.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1887,717.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3459,717.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2547,717.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3196,717.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
771,717.0,493,2010-03-18 00:00:00,2010-05-17 00:00:00,OZ ,1,9.0,2010-05-17 00:00:00
636,717.0,493,2010-05-18 00:00:00,,OZ ,2,8.0,2010-05-04 00:00:00
637,717.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
993,717.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
232,717.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
231,717.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1449,718.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1883,718.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3455,718.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2689,718.0,327,2010-08-05 00:00:00,2010-10-04 00:00:00,EA ,1,2.0,2010-10-04 00:00:00
2543,718.0,327,2010-10-05 00:00:00,,EA ,2,1.0,2010-09-21 00:00:00
3192,718.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
628,718.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
629,718.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
989,718.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
224,718.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
223,718.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1450,719.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1884,719.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3456,719.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2544,719.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3193,719.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
770,719.0,493,2010-03-18 00:00:00,2010-05-17 00:00:00,OZ ,1,9.0,2010-05-17 00:00:00
630,719.0,493,2010-05-18 00:00:00,,OZ ,2,8.0,2010-05-04 00:00:00
631,719.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
990,719.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
226,719.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
225,719.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1451,720.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1885,720.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3457,720.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2545,720.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3194,720.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
632,720.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
633,720.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
1167,720.0,533,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,1,2.0,2010-07-25 00:00:00
991,720.0,533,2010-07-26 00:00:00,,EA ,2,1.0,2010-07-12 00:00:00
228,720.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
227,720.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1452,721.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1886,721.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3458,721.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2546,721.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3195,721.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
634,721.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
635,721.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
992,721.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
230,721.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
229,721.0,804,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1409,722.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1860,722.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3432,722.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2520,722.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3169,722.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1411,722.0,492,2010-06-09 00:00:00,,OZ ,2,8.0,2010-05-26 00:00:00
585,722.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
1151,722.0,533,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,1,2.0,2010-07-25 00:00:00
966,722.0,533,2010-07-26 00:00:00,,EA ,2,1.0,2010-07-12 00:00:00
195,722.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1410,722.0,802,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
1412,723.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1861,723.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3433,723.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2521,723.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3170,723.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1414,723.0,492,2010-06-09 00:00:00,,OZ ,2,8.0,2010-05-26 00:00:00
586,723.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
967,723.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
196,723.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1413,723.0,802,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
1602,724.0,324,2010-06-09 00:00:00,2010-08-08 00:00:00,EA ,1,3.0,2010-08-08 00:00:00
1415,724.0,324,2010-08-09 00:00:00,,EA ,2,2.0,2010-07-26 00:00:00
1862,724.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3434,724.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2522,724.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3171,724.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
1417,724.0,492,2010-06-09 00:00:00,,OZ ,2,8.0,2010-05-26 00:00:00
587,724.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
968,724.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
197,724.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1416,724.0,802,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
1418,725.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1863,725.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3435,725.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2675,725.0,327,2010-08-05 00:00:00,2010-10-04 00:00:00,EA ,1,2.0,2010-10-04 00:00:00
2523,725.0,327,2010-10-05 00:00:00,,EA ,2,1.0,2010-09-21 00:00:00
3172,725.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
588,725.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
589,725.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
969,725.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
198,725.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1419,725.0,802,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
1420,726.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1864,726.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3436,726.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2524,726.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3173,726.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
766,726.0,493,2010-03-18 00:00:00,2010-05-17 00:00:00,OZ ,1,9.0,2010-05-17 00:00:00
590,726.0,493,2010-05-18 00:00:00,,OZ ,2,8.0,2010-05-04 00:00:00
591,726.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
970,726.0,533,2010-05-26 00:00:00,,EA ,2,1.0,2010-05-12 00:00:00
199,726.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
1421,726.0,802,2010-06-09 00:00:00,,EA ,2,1.0,2010-05-26 00:00:00
1422,727.0,324,2010-06-09 00:00:00,,EA ,2,2.0,2010-05-26 00:00:00
1865,727.0,325,2010-06-19 00:00:00,,EA ,2,2.0,2010-06-05 00:00:00
3437,727.0,326,2010-12-23 00:00:00,,EA ,2,1.0,2010-12-09 00:00:00
2525,727.0,327,2010-08-05 00:00:00,,EA ,2,1.0,2010-07-22 00:00:00
3174,727.0,399,2010-12-15 00:00:00,,EA ,2,1.0,2010-12-01 00:00:00
592,727.0,493,2010-03-18 00:00:00,,OZ ,2,8.0,2010-03-04 00:00:00
593,727.0,532,2010-03-18 00:00:00,,EA ,2,4.0,2010-03-04 00:00:00
1152,727.0,533,2010-05-26 00:00:00,2010-07-25 00:00:00,EA ,1,2.0,2010-07-25 00:00:00
971,727.0,533,2010-07-26 00:00:00,,EA ,2,1.0,2010-07-12 00:00:00
200,727.0,534,2010-03-04 00:00:00,,EA ,2,1.0,2010-02-18 00:00:00
